"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Strix Lookout","U","C","139023","6.58","40789","7.73","205824","79.6%","57.1%","37346","57.6%","55884","57.7%","93230","57.6%","112081","56.5%","1.1pp"
"Uncharted Voyage","U","C","105634","4.23","12322","5.99","60862","77.0%","59.1%","10051","57.7%","17536","61.6%","27587","60.2%","33227","58.2%","2.0pp"
"Abyssal Harvester","B","R","4157","1.21","1995","1.22","11346","91.1%","56.9%","1990","57.7%","3012","60.3%","5002","59.2%","6364","54.9%","4.3pp"
"Arbiter of Woe","B","U","29483","2.96","8557","3.44","50794","92.0%","58.8%","8352","57.6%","13785","63.2%","22137","61.1%","28555","56.9%","4.2pp"
"Billowing Shriekmass","B","U","44058","4.36","7352","5.74","32348","70.8%","55.7%","5469","53.2%","8652","59.1%","14121","56.8%","18193","54.7%","2.1pp"
"Blasphemous Edict","B","R","3920","1.11","2187","1.11","12315","88.9%","58.4%","2083","58.0%","3277","62.1%","5360","60.5%","6932","56.8%","3.8pp"
"Bloodthirsty Conqueror","B","M","1767","1.02","1507","1.02","8905","91.7%","58.3%","1554","61.9%","2419","64.0%","3973","63.2%","4924","54.4%","8.7pp"
"Crypt Feaster","B","C","143378","7.83","17656","11.03","12687","11.2%","53.1%","2136","48.3%","3211","53.5%","5347","51.4%","7351","54.3%","-2.9pp"
"Gutless Plunderer","B","C","143068","7.74","37320","9.41","125826","52.6%","56.5%","21807","55.6%","31417","58.1%","53224","57.1%","72227","56.1%","1.0pp"
"High-Society Hunter","B","R","3947","1.13","2726","1.13","15793","93.0%","57.3%","2640","57.8%","4253","62.6%","6893","60.8%","8888","54.6%","6.2pp"
"Hungry Ghoul","B","C","118401","4.80","23028","6.31","122396","83.4%","57.5%","22050","58.1%","29899","57.9%","51949","58.0%","70156","57.1%","0.9pp"
"Infernal Vessel","B","U","29286","2.92","8983","3.45","53926","93.9%","58.4%","9519","60.3%","13943","60.1%","23462","60.2%","30365","57.0%","3.2pp"
"Infestation Sage","B","C","119569","4.87","24565","6.36","133646","85.1%","58.0%","24179","59.9%","33199","58.0%","57378","58.8%","75892","57.4%","1.4pp"
"Midnight Snack","B","U","57128","7.80","10051","10.35","9250","14.5%","51.5%","1535","47.0%","2154","53.1%","3689","50.6%","5561","52.2%","-1.6pp"
"Nine-Lives Familiar","B","R","5950","1.57","1270","1.64","5991","78.0%","53.3%","1069","52.3%","1478","54.5%","2547","53.6%","3431","53.1%","0.5pp"
"Revenge of the Rats","B","U","53259","5.95","6160","8.48","9924","25.9%","53.1%","1658","49.8%","2448","55.0%","4106","52.9%","5812","53.2%","-0.3pp"
"Sanguine Syphoner","B","C","140117","6.96","25947","8.93","88789","53.8%","55.9%","16179","56.8%","20653","55.1%","36832","55.9%","51592","55.9%","-0.0pp"
"Seeker's Folly","B","U","53213","5.87","11919","7.40","44938","59.6%","57.2%","7886","56.6%","11664","59.0%","19550","58.0%","25370","56.6%","1.4pp"
"Soul-Shackled Zombie","B","C","141730","7.33","32274","9.17","109207","52.6%","57.6%","18133","55.3%","28042","60.7%","46175","58.5%","63016","56.9%","1.7pp"
"Stab","B","C","74399","2.98","23042","3.60","138881","94.0%","58.6%","24566","60.3%","35713","61.1%","60279","60.8%","74881","56.3%","4.5pp"
"Tinybones, Bauble Burglar","B","R","4367","1.20","1932","1.22","10921","90.0%","57.2%","2016","61.6%","2755","59.7%","4771","60.5%","6134","54.6%","5.9pp"
"Tragic Banshee","B","U","26274","2.70","9083","3.11","54186","93.5%","58.4%","8893","57.9%","14433","62.6%","23326","60.8%","30828","56.6%","4.2pp"
"Vampire Gourmand","B","U","23887","2.50","7599","2.84","46046","93.9%","59.0%","8444","61.7%","11779","61.5%","20223","61.6%","25708","56.9%","4.7pp"
"Vampire Soulcaller","B","C","134711","6.07","22162","8.27","84111","59.8%","56.5%","13740","52.6%","21514","58.8%","35254","56.4%","48764","56.5%","-0.1pp"
"Vengeful Bloodwitch","B","U","33114","3.19","6287","4.01","34018","87.3%","56.1%","6076","54.9%","8203","58.4%","14279","56.9%","19622","55.3%","1.6pp"
"Zul Ashur, Lich Lord","B","R","4688","1.31","926","1.35","4355","74.4%","56.9%","784","59.7%","1062","58.9%","1846","59.3%","2498","55.2%","4.0pp"
"Battlesong Berserker","R","U","23672","2.49","3208","2.99","17479","85.8%","58.6%","2983","59.4%","3941","59.5%","6924","59.4%","10576","58.1%","1.3pp"
"Boltwave","R","U","57466","9.09","12096","11.42","6929","8.9%","48.9%","1188","43.5%","1551","50.4%","2739","47.4%","4118","49.7%","-2.3pp"
"Bulk Up","R","U","57735","9.14","12208","11.48","7606","9.6%","52.7%","1267","50.7%","1672","52.0%","2939","51.4%","4669","53.5%","-2.0pp"
"Chandra, Flameshaper","R","M","1769","1.03","1177","1.03","6064","81.8%","59.3%","1034","63.8%","1518","68.0%","2552","66.3%","3509","54.2%","12.1pp"
