"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"High Market","","R","16184","5.76","2070","8.77","3924","31.1%","54.0%","675","51.4%","1001","55.9%","1676","54.1%","2229","53.6%","0.5pp"
"Hissing Quagmire","","R","11333","4.05","2504","5.33","9134","59.9%","55.0%","1790","58.7%","2222","56.0%","4012","57.2%","5099","53.2%","4.0pp"
"Inkmoth Nexus","","M","5239","3.83","908","5.15","4062","73.2%","54.1%","734","50.4%","1072","53.7%","1806","52.4%","2243","55.6%","-3.2pp"
"Inventors' Fair","","M","5957","4.29","903","6.26","3306","61.3%","52.7%","530","54.2%","898","55.5%","1428","55.0%","1853","50.9%","4.1pp"
"Lavaclaw Reaches","","R","10799","3.92","2551","5.00","10884","69.0%","56.1%","1964","58.4%","2765","59.1%","4729","58.8%","6132","54.0%","4.8pp"
"Lotus Field","","M","6381","4.69","739","7.37","1305","29.8%","48.6%","241","","335","","576","47.6%","724","49.4%","-1.9pp"
"Lumbering Falls","","R","10407","3.76","2777","4.73","12457","73.2%","55.4%","2260","60.8%","3167","55.8%","5427","57.9%","6948","53.5%","4.4pp"
"Mana Confluence","","M","5243","3.83","754","5.38","2846","62.5%","53.1%","523","56.4%","702","52.6%","1225","54.2%","1614","52.2%","2.0pp"
"Meteor Crater","","R","14159","5.27","1433","8.54","1815","20.9%","50.5%","312","","464","","776","49.2%","1034","51.4%","-2.1pp"
"Mirrorpool","","M","6969","5.22","793","8.23","1068","22.1%","51.5%","174","","281","","455","","609","51.7%",""
"Mutavault","","M","4512","3.27","1197","4.06","6434","88.5%","54.9%","1079","54.2%","1671","56.4%","2750","55.5%","3654","54.5%","1.1pp"
"Mystifying Maze","","R","14098","5.04","1658","7.84","4271","43.3%","52.6%","676","53.0%","1129","54.4%","1805","53.9%","2436","51.7%","2.1pp"
"Needle Spires","","R","12305","4.35","2128","6.13","6604","51.4%","54.2%","1257","58.8%","1601","56.7%","2858","57.6%","3742","51.6%","6.0pp"
"Nesting Grounds","","R","16350","6.03","1866","9.33","1703","15.2%","49.6%","260","","416","","676","48.8%","1026","50.0%","-1.2pp"
"Petrified Field","","M","8478","6.54","1062","9.85","423","6.5%","","75","","105","","180","","243","",""
"Plaza of Heroes","","M","7755","5.64","903","8.93","686","12.7%","52.2%","129","","182","","311","","375","",""
"Power Depot","","R","14244","5.13","1748","7.86","4166","40.6%","50.6%","743","50.6%","1078","50.3%","1821","50.4%","2320","50.7%","-0.3pp"
"Raging Ravine","","R","8965","3.39","2467","4.12","11324","74.7%","56.0%","2169","59.2%","2635","57.6%","4804","58.3%","6482","54.3%","4.0pp"
"Reflecting Pool","","M","6298","4.52","750","6.89","2543","56.1%","52.6%","438","","673","54.2%","1111","53.4%","1427","52.1%","1.3pp"
"Scavenger Grounds","","R","17077","6.57","2072","10.08","622","5.0%","49.5%","94","","150","","244","","376","",""
"Shambling Vent","","R","10880","3.82","2363","5.02","9339","64.5%","56.2%","1774","57.9%","2414","57.9%","4188","57.9%","5124","54.9%","3.0pp"
"Stirring Wildwood","","R","10515","3.77","2340","4.91","9480","65.7%","56.5%","1777","60.0%","2220","58.2%","3997","59.0%","5471","54.7%","4.3pp"
"Strip Mine","","M","4521","3.37","1241","3.95","6202","81.3%","56.3%","1050","56.1%","1613","57.7%","2663","57.0%","3520","55.8%","1.2pp"
"Sunken Citadel","","R","13147","4.57","2387","6.47","11683","79.8%","55.5%","2186","56.9%","2965","55.0%","5151","55.8%","6505","55.3%","0.5pp"
"Swarmyard","","R","14112","5.15","2725","6.84","10012","59.2%","56.6%","1602","58.3%","2523","58.2%","4125","58.3%","5847","55.3%","3.0pp"
"Terrain Generator","","R","15151","5.75","1613","9.08","1710","17.6%","51.2%","270","","427","","697","52.1%","1010","50.7%","1.4pp"
"Thespian's Stage","","R","16690","6.15","1990","9.49","1146","9.6%","48.7%","210","","296","","506","49.2%","634","48.3%","0.9pp"
"Wandering Fumarole","","R","12169","4.28","2538","5.87","9424","61.8%","54.1%","1794","57.1%","2414","56.1%","4208","56.5%","5160","52.3%","4.2pp"
